created_at,source,original_text,polarity,subjectivity,lang,fav_count,retweet_count,screen_name,follower_count,friends_count,sensitivity,hashtags,mentions,location
Sun Aug 07 22:30:35 +0000 2022,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Wilson Chinonso Blog: Nigerian tribes, the list and facts https://t.co/E58nxeVz0j 

#China #ChinaTaiwan #ManUnited",0.0,0.0,en,1,0,wilson_chnns,28,265,false,"[{'text': 'China', 'indices': [84, 90]}, {'text': 'ChinaTaiwan', 'indices': [91, 103]}, {'text': 'ManUnited', 'indices': [104, 114]}]",[],
Sun Aug 07 22:30:35 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @IndoPac_Info: A good infographic of #China's missile launches on #Taiwan on August 4th.

#ChinaTaiwanCrisis https://t.co/STzRr9fhU5",0.7,0.6000000000000001,en,0,183,ZIisq,65,272,false,"[{'text': 'China', 'indices': [40, 46]}, {'text': 'Taiwan', 'indices': [69, 76]}, {'text': 'ChinaTaiwanCrisis', 'indices': [93, 111]}]","[{'screen_name': 'IndoPac_Info', 'name': 'Indo-Pacific News - Watching the CCP-China Threat', 'id': 844136511079559168, 'id_str': '844136511079559168', 'indices': [3, 16]}]",
Sun Aug 07 22:30:29 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @shen_shiwei: Roger Waters: ""They're (Chinese) not encircling #Taiwan, Taiwan is part of China, and that's been absolutely accepted by t…",0.1,0.45,en,0,7,Aurora20288302,9,178,false,"[{'text': 'Taiwan', 'indices': [65, 72]}]","[{'screen_name': 'shen_shiwei', 'name': 'Shen Shiwei 沈诗伟', 'id': 587955457, 'id_str': '587955457', 'indices': [3, 15]}]",
Sun Aug 07 22:30:27 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @SpokespersonCHN: Baidu Maps show that there are 38 Shandong dumpling restaurants and 67 Shanxi noodle restaurants in Taipei. Palates do…,0.0,0.0,en,0,358,Rocky4533,265,627,false,[],"[{'screen_name': 'SpokespersonCHN', 'name': 'Hua Chunying 华春莹', 'id': 1183698123719200768, 'id_str': '1183698123719200768', 'indices': [3, 19]}]",
Sun Aug 07 22:30:25 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Decent_az001: The #Marvininu project speaks goodness about the future right now

Hodl up for the future win because $Marvin is the coin…",0.27142857142857146,0.29642857142857143,en,0,20,Foxy_Jaylad,669,461,false,"[{'text': 'Marvininu', 'indices': [22, 32]}]","[{'screen_name': 'Decent_az001', 'name': 'Decent 🥰🥰', 'id': 1501990273827708936, 'id_str': '1501990273827708936', 'indices': [3, 16]}]",
Sun Aug 07 22:30:15 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @EagleNews: China's largest-ever Taiwan military drills draw to a close
#china #diplomacy #Militarydrills #Taiwan #US
https://t.co/Yvl5N…",-0.1,0.1,en,0,1,fortunefrien,336,1026,false,"[{'text': 'china', 'indices': [75, 81]}, {'text': 'diplomacy', 'indices': [82, 92]}, {'text': 'Militarydrills', 'indices': [93, 108]}, {'text': 'Taiwan', 'indices': [109, 116]}, {'text': 'US', 'indices': [117, 120]}]","[{'screen_name': 'EagleNews', 'name': 'Eagle News', 'id': 2164169846, 'id_str': '2164169846', 'indices': [3, 13]}]",
Sun Aug 07 22:30:10 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @timand2037: Former colonial regimes - now the self-styled G7 - are building provocations and false pretexts for war with #China, just a…",-0.20000000000000004,0.3,en,0,128,henok_tekeste,1165,2542,false,"[{'text': 'China', 'indices': [125, 131]}]","[{'screen_name': 'timand2037', 'name': 'tim anderson', 'id': 56575418, 'id_str': '56575418', 'indices': [3, 14]}]",
Sun Aug 07 22:30:06 +0000 2022,"<a href=""https://covid19travel.com"" rel=""nofollow"">Covid19Travel Twitter bot app</a>","RT @odisseoisback: #Corfu #Greece🇬🇷
#Summer #Beaches #Travel #Excursion
👉check availability on https://t.co/BbZwjJWGjp     
-
#Vacanze #Hol…",0.0,0.0,en,0,2,Covid19Travel_,27,0,false,"[{'text': 'Corfu', 'indices': [19, 25]}, {'text': 'Greece', 'indices': [26, 33]}, {'text': 'Summer', 'indices': [36, 43]}, {'text': 'Beaches', 'indices': [44, 52]}, {'text': 'Travel', 'indices': [53, 60]}, {'text': 'Excursion', 'indices': [61, 71]}, {'text': 'Vacanze', 'indices': [126, 134]}]","[{'screen_name': 'odisseoisback', 'name': 'Odisseo', 'id': 230318508, 'id_str': '230318508', 'indices': [3, 17]}]",
Sun Aug 07 22:30:01 +0000 2022,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","27.89US $ 17% OFF|Usb Condenser Microphone For Pc Gaming Bluetooth Mic For Phone With Stand Pop Filter Type-c Converter Computer Microphone Studio - Microphones - AliExpress https://t.co/WHAoiInzF4
 #aliexpress #USA #uk  #RT #Europe #UnitedStates #Russia  #Taiwan #China #America https://t.co/YDVTxeDXfS",0.0,0.0,en,0,0,doos94619918,1936,4792,false,"[{'text': 'aliexpress', 'indices': [199, 210]}, {'text': 'USA', 'indices': [211, 215]}, {'text': 'uk', 'indices': [216, 219]}, {'text': 'RT', 'indices': [221, 224]}, {'text': 'Europe', 'indices': [225, 232]}, {'text': 'UnitedStates', 'indices': [233, 246]}, {'text': 'Russia', 'indices': [247, 254]}, {'text': 'Taiwan', 'indices': [256, 263]}, {'text': 'China', 'indices': [264, 270]}, {'text': 'America', 'indices': [271, 279]}]",[],
Sun Aug 07 22:29:53 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @terror_alarm: 🚨🇨🇳🇹🇼China now has #Taiwan surrounded from air and the sea as it gears up to start the next round of military drill ""exer…",-0.10000000000000002,0.16666666666666666,en,0,112,DjPeaceOfMind1,21,131,false,"[{'text': 'Taiwan', 'indices': [37, 44]}]","[{'screen_name': 'terror_alarm', 'name': 'Terror Alarm', 'id': 754718787237281792, 'id_str': '754718787237281792', 'indices': [3, 16]}]",
